userid,itemid,rating,Time,Location,Companion
1082,tt0133093,5,Weekend,Cinema,Alone
1082,tt0367594,5,Weekend,Cinema,Alone
1082,tt0405422,5,Weekend,Home,Family
1082,tt1453405,5,Weekday,Cinema,Partner
1082,tt0367594,5,Weekday,Cinema,Partner
1082,tt1453405,5,Weekday,Cinema,Partner
1082,tt0133093,5,Weekday,Cinema,Partner
1082,tt1055369,5,Weekend,Cinema,Alone
1082,tt1632708,5,Weekend,Cinema,Alone
1082,tt0367594,5,Weekend,Cinema,Alone
1082,tt0110357,5,Weekday,Cinema,Partner
1082,tt0111161,5,Weekend,Home,Family
1082,tt1632708,5,Weekend,Home,Family
1082,tt0120338,5,Weekday,Cinema,Partner
1082,tt1055369,5,Weekday,Cinema,Partner
1082,tt1632708,5,Weekend,Home,Family
1082,tt1055369,5,Weekend,Cinema,Alone
1082,tt0133093,5,Weekday,Cinema,Partner
1082,tt0268380,5,Weekend,Cinema,Alone
1082,tt4411490,5,Weekend,Cinema,Alone
1082,tt0993846,5,Weekend,Cinema,Alone
1082,tt1707386,5,Weekday,Cinema,Partner
1082,tt0088763,5,Weekend,Home,Family
1082,tt0266543,5,Weekday,Cinema,Partner
1082,tt0110357,5,Weekday,Cinema,Partner
1082,tt0133093,5,Weekend,Cinema,Alone
1082,tt0268380,5,Weekend,Cinema,Alone
1082,tt0088763,5,Weekend,Home,Family
1082,tt1632708,5,Weekday,Cinema,Partner
1082,tt3510098,5,Weekday,Cinema,Partner
1082,tt4411490,5,Weekend,Home,Family
1082,tt1632708,5,Weekday,Cinema,Partner
1082,tt1055369,5,Weekday,Cinema,Partner
1082,tt0367594,5,Weekend,Home,Family
1082,tt0232500,5,Weekday,Cinema,Partner
1082,tt0088763,5,Weekend,Cinema,Alone
1082,tt0133093,4,Weekend,Home,Family
1082,tt0800369,4,Weekday,Cinema,Partner
1082,tt1041829,4,Weekday,Cinema,Partner
1082,tt0289879,4,Weekday,Cinema,Partner
1082,tt1453405,4,Weekend,Home,Family
1082,tt1232829,4,Weekend,Home,Family
1082,tt3510098,4,Weekend,Cinema,Alone
1082,tt1596343,4,Weekday,Cinema,Partner
1082,tt1369829,4,Weekday,Cinema,Partner
1082,tt0289879,4,Weekday,Cinema,Partner
1082,tt0110475,4,Weekend,Cinema,Alone
1082,tt0405422,4,Weekend,Cinema,Alone
1082,tt1041829,4,Weekday,Cinema,Partner
1082,tt3510098,4,Weekend,Cinema,Alone
1082,tt0110475,4,Weekend,Cinema,Alone
1082,tt1596343,4,Weekend,Home,Family
1082,tt1707386,4,Weekend,Home,Family
1082,tt1596343,4,Weekday,Cinema,Partner
1082,tt2557490,4,Weekday,Cinema,Partner
1082,tt0213149,4,Weekend,Cinema,Alone
1082,tt0110357,4,Weekend,Home,Family
1082,tt0213149,4,Weekend,Cinema,Alone
1082,tt1055369,4,Weekend,Home,Family
1082,tt1232829,4,Weekend,Cinema,Alone
1082,tt0266543,4,Weekend,Home,Family
1082,tt0109830,4,Weekend,Cinema,Alone
1082,tt0356910,4,Weekday,Cinema,Partner
1082,tt1707386,4,Weekend,Home,Family
1082,tt1657301,4,Weekend,Cinema,Alone
1082,tt0109830,4,Weekend,Cinema,Alone
1082,tt2557490,4,Weekday,Cinema,Partner
1082,tt0405422,4,Weekend,Cinema,Alone
1082,tt1375666,4,Weekend,Cinema,Alone
1082,tt1924435,4,Weekday,Cinema,Partner
1082,tt0109830,4,Weekend,Home,Family
1082,tt1369829,4,Weekend,Cinema,Alone
1082,tt1499658,4,Weekday,Cinema,Partner
1082,tt0213149,4,Weekday,Cinema,Partner
1082,tt0800369,4,Weekday,Cinema,Partner
1082,tt1369829,4,Weekday,Cinema,Partner
1082,tt0232500,3,Weekend,Home,Family
1082,tt1924435,3,Weekend,Cinema,Alone
1082,tt0407304,3,Weekend,Cinema,Alone
1082,tt1478338,3,Weekend,Home,Family
1082,tt0147800,3,Weekend,Home,Family
1082,tt1499658,3,Weekend,Home,Family
1082,tt0232500,3,Weekend,Cinema,Alone
1082,tt0114369,3,Weekday,Cinema,Partner
1082,tt0407304,3,Weekend,Cinema,Alone
1082,tt1453405,3,Weekend,Cinema,Alone
1082,tt0327084,3,Weekday,Cinema,Partner
1082,tt1499658,3,Weekend,Home,Family
1082,tt0944835,3,Weekend,Cinema,Alone
1082,tt3793764,3,Weekend,Cinema,Alone
1082,tt0327084,3,Weekday,Cinema,Partner
1082,tt1068680,3,Weekday,Cinema,Partner
1082,tt0356910,3,Weekend,Cinema,Alone
1082,tt0945513,3,Weekend,Cinema,Alone
1082,tt0327084,3,Weekend,Home,Family
1082,tt0114369,3,Weekend,Cinema,Alone
1082,tt0407304,3,Weekend,Home,Family
1082,tt1068680,3,Weekend,Home,Family
1082,tt0147800,3,Weekday,Cinema,Partner
1082,tt1453405,3,Weekend,Cinema,Alone
1082,tt0945513,3,Weekday,Cinema,Partner
1082,tt0800369,3,Weekend,Home,Family
1082,tt0356910,3,Weekend,Cinema,Alone
1082,tt0327084,3,Weekend,Home,Family
1082,tt0356910,3,Weekend,Home,Family
1082,tt0266543,3,Weekend,Cinema,Alone
1082,tt2557490,3,Weekend,Home,Family
1082,tt0489099,3,Weekend,Home,Family
1082,tt0945513,3,Weekend,Home,Family
1082,tt0114369,3,Weekend,Cinema,Alone
1082,tt1657301,3,Weekend,Home,Family
1082,ttnanana1,3,Weekend,Home,Family
1082,tt0944835,3,Weekend,Home,Family
1082,tt0800369,3,Weekend,Cinema,Alone
1082,tt1369829,3,Weekend,Home,Family
1082,tt0343660,3,Weekend,Cinema,Alone
1082,tt0266543,3,Weekend,Cinema,Alone
1082,tt0110475,3,Weekend,Home,Family
1082,tt0110475,3,Weekend,Home,Family
1082,tt1564367,3,Weekend,Home,Family
1082,tt0489099,3,Weekend,Home,Family
1082,ttnanana1,3,Weekend,Home,Family
1082,ttnanana1,3,Weekend,Cinema,Alone
1082,tt0343660,3,Weekend,Cinema,Alone
1082,tt0232500,3,Weekend,Home,Family
1082,tt0213149,3,Weekend,Home,Family
1082,tt0407304,3,Weekend,Home,Family
1082,tt0489099,3,Weekday,Cinema,Partner
1082,tt1369829,3,Weekend,Home,Family
1082,tt1637706,2,Weekday,Home,Partner
1082,tt1499658,2,Weekend,Cinema,Alone
1082,tt1478338,2,Weekend,Cinema,Alone
1082,tt0413267,2,Weekend,Cinema,Alone
1082,tt0110357,2,Weekend,Cinema,Alone
1082,tt1478338,2,Weekend,Cinema,Alone
1082,tt0147800,2,Weekend,Cinema,Alone
1082,tt0147800,2,Weekend,Cinema,Alone
1082,tt3793764,2,Weekday,Home,Partner
