userid,itemid,rating,Time,Location,Companion
1066,tt4411490,1,Weekend,Cinema,Family
1066,tt1707386,2,Weekday,Home,Partner
1066,tt4411490,1,Weekday,Cinema,Family
1066,tt0232500,1,Weekday,Home,Partner
1066,tt1707386,1,Weekend,Cinema,Family
1066,tt0232500,1,Weekday,Cinema,Family
1109,tt0266543,5,Weekday,Cinema,Partner
1109,tt1291150,5,Weekend,Cinema,Alone
1109,tt1478338,5,Weekday,Cinema,Partner
1109,tt1291150,5,Weekend,Cinema,Partner
1109,tt1478338,5,Weekend,Cinema,Partner
1113,tt0111161,5,Weekday,Home,Partner
1113,tt0109830,5,Weekday,Home,Partner
1113,tt1099212,3,Weekend,Cinema,Alone
1113,tt0441773,5,Weekday,Home,Partner
1113,tt1099212,3,Weekend,Home,Partner
1034,tt1099212,1,Weekday,Cinema,Alone
1034,tt0800369,3,Weekend,Cinema,Partner
1034,tt1375666,3,Weekday,Cinema,Partner
1034,tt1478338,3,Weekday,Cinema,Alone
1034,ttnanana2,1,Weekday,Cinema,Alone
1034,tt1369829,4,Weekday,Cinema,Partner
1034,tt1369829,4,Weekend,Cinema,Partner
1063,tt3203616,5,Weekday,Cinema,Family
1063,tt1369829,3,Weekend,Cinema,Family
1063,tt1133985,3,Weekend,Cinema,Family
1063,tt1924435,2,Weekday,Home,Partner
1063,tt1924435,4,Weekday,Cinema,Alone
1063,tt3203616,4,Weekday,Home,Partner
1063,tt0232500,3,Weekday,Home,Partner
1056,tt0319262,5,Weekday,Cinema,Alone
1056,tt3793764,5,Weekday,Cinema,Alone
1056,tt2251217,5,Weekday,Cinema,Family
1056,tt0319262,5,Weekend,Cinema,Family
1105,tt0181689,5,Weekend,Cinema,Partner
1105,tt0266543,5,Weekday,Home,Family
1105,tt1707386,5,Weekend,Home,Partner
1105,tt0454876,1,Weekend,Cinema,Alone
1105,tt0454876,1,Weekend,Home,Alone
1105,tt1478338,5,Weekday,Home,Family
1105,tt0110357,5,Weekday,Home,Family
1016,ttnanana1,1,Weekend,Home,Alone
1016,tt0441773,4,Weekend,Cinema,Partner
1016,tt0111161,4,Weekend,Cinema,Partner
1016,tt0213149,5,Weekend,Cinema,Partner
1016,tt0441773,5,Weekend,Home,Alone
1016,tt1375666,2,Weekend,Home,Alone
1008,tt1190080,3,Weekend,Home,Family
1008,tt0232500,3,Weekend,Home,Family
